Tip (ET),Tip short,Tip dt (ET),Tip dt (UTC),Local date,Day,Matchup,Away team,Home team,Away logo,Home logo,Home spread,|spread|,Home spread effective,|spread effective|,Home spread close,Minutes remaining,a_close(t),a_live(t),Record (away),Record (home),Spread source,Spread mode,Win% (away raw),Win% (home raw),Adj win% (away),Adj win% (home),Adj win% (away) pre-star,Adj win% (home) pre-star,Avg adj win% pre-star,Avg adj win% post-star,Health (away),Health (home),Star factor (away),Star factor (home),Away Star Player,Home Star Player,Away Star Raw,Home Star Raw,Team quality pre-star,Team Quality bump (away),Team Quality bump (home),Away Star Factor,Home Star Factor,Away Key Injuries,Home Key Injuries,Away injuries detail JSON,Home injuries detail JSON,Team quality,Team Quality,Closeness,Competitiveness,Uavg,aWI,Region,Status,Is live,ESPN game id,Away score,Home score,Time remaining,Tip display,Where to watch URL,Where to watch provider,Forecast
Mon 08:00 PM,Mon 8PM,2026-05-11 20:00:00-04:00,2026-05-12 00:00:00+00:00,2026-05-11,Monday,Detroit Pistons @ Cleveland Cavaliers,Detroit Pistons,Cleveland Cavaliers,https://a.espncdn.com/i/teamlogos/nba/500/DET.png,https://a.espncdn.com/i/teamlogos/nba/500/CLE.png,-3.5,3.5,-3.5,3.5,,,0.0,1.0,60-22,52-30,median_across_books,odds,0.73170733,0.63414633,0.6931707436000001,0.6034146236,0.6731707436000001,0.5834146236,0.6282926836,0.6482926836,0.92,0.92,0.02,0.02,,,0.0,0.0,0.8565853672000001,2.0,2.0,,,,,[],[],0.8965853672000001,0.8965853672000001,0.8117024453014074,0.8117024453014074,0.8688473005919187,86.88473005919187,Strong Watch,pre,False,401871336,0,0,,Mon 8PM ET,https://www.nba.com/game/det-vs-cle-0042500204,Peacock,True
Mon 10:30 PM,Mon 10PM,2026-05-11 22:30:00-04:00,2026-05-12 02:30:00+00:00,2026-05-11,Monday,Oklahoma City Thunder @ Los Angeles Lakers,Oklahoma City Thunder,Los Angeles Lakers,https://a.espncdn.com/i/teamlogos/nba/500/OKC.png,https://a.espncdn.com/i/teamlogos/nba/500/LAL.png,11.0,11.0,11.0,11.0,,,0.0,1.0,64-18,53-29,median_across_books,odds,0.7804878,0.64634144,0.738048776,0.6146341248000001,0.7180487759999999,0.5946341248000001,0.6563414504,0.6763414504,0.92,0.92,0.02,0.02,,,0.0,0.0,0.9126829008000001,2.0,2.0,,,,,[],[],0.9526829008000002,0.9526829008000002,0.3137782165113512,0.3137782165113512,0.5488105698490056,54.88105698490055,Watchable,pre,False,401871329,0,0,,Mon 10PM ET,https://www.nba.com/game/okc-vs-lal-0042500224,Prime,True
Tue 08:00 PM,Tue 8PM,2026-05-12 20:00:00-04:00,2026-05-13 00:00:00+00:00,2026-05-12,Tuesday,Minnesota Timberwolves @ San Antonio Spurs,Minnesota Timberwolves,San Antonio Spurs,https://a.espncdn.com/i/teamlogos/nba/500/MIN.png,https://a.espncdn.com/i/teamlogos/nba/500/SAS.png,-10.0,10.0,-10.0,10.0,,,0.0,1.0,49-33,62-20,median_across_books,odds,0.597561,0.75609756,0.5697561200000001,0.7156097552,0.5497561200000001,0.6956097552,0.6226829376,0.6426829376000001,0.92,0.92,0.02,0.02,,,0.0,0.0,0.8453658752000002,2.0,2.0,,,,,[],[],0.8853658752000002,0.8853658752000002,0.3835674999767602,0.3835674999767602,0.6091944112883428,60.919441128834286,Watchable,pre,False,401871156,0,0,,Tue 8PM ET,https://www.nba.com/game/min-vs-sas-0042500235,Peacock,True
Wed 12:00 AM,Wed 12AM,2026-05-13 00:00:00-04:00,2026-05-13 04:00:00+00:00,2026-05-13,Wednesday,Cleveland Cavaliers @ Detroit Pistons,Cleveland Cavaliers,Detroit Pistons,https://a.espncdn.com/i/teamlogos/nba/500/CLE.png,https://a.espncdn.com/i/teamlogos/nba/500/DET.png,-4.926830000000001,4.926830000000001,-4.926830000000001,4.926830000000001,,,0.0,1.0,52-30,60-22,forecast_model,forecast,0.63414633,0.73170733,0.6034146236,0.6931707436000001,0.5834146236,0.6731707436000001,0.6282926836,0.6482926836,0.92,0.92,0.02,0.02,,,0.0,0.0,0.8565853672000001,2.0,2.0,,,,,[],[],0.8965853672000001,0.8965853672000001,0.7204740533272556,0.7204740533272556,0.8330944354737209,83.30944354737208,Strong Watch,pre,False,401871337,0,0,,Wed 12AM ET,https://www.nba.com/game/cle-vs-det-0042500205,ESPN,True
Wed 12:00 AM,Wed 12AM,2026-05-13 00:00:00-04:00,2026-05-13 04:00:00+00:00,2026-05-13,Wednesday,Los Angeles Lakers @ Oklahoma City Thunder,Los Angeles Lakers,Oklahoma City Thunder,https://a.espncdn.com/i/teamlogos/nba/500/LAL.png,https://a.espncdn.com/i/teamlogos/nba/500/OKC.png,-6.024390799999997,6.024390799999997,-6.024390799999997,6.024390799999997,,,0.0,1.0,53-29,64-18,forecast_model,forecast,0.64634144,0.7804878,0.6146341248000001,0.738048776,0.5946341248000001,0.7180487759999999,0.6563414504,0.6763414504,0.92,0.92,0.02,0.02,,,0.0,0.0,0.9126829008000001,2.0,2.0,,,,,[],[],0.9526829008000002,0.9526829008000002,0.6494210171234822,0.6494210171234822,0.8285114441102616,82.85114441102616,Strong Watch,pre,False,401871330,0,0,,Wed 12AM ET,https://www.nba.com/game/lal-vs-okc-0042500225,ESPN,True
Fri 12:00 AM,Fri 12AM,2026-05-15 00:00:00-04:00,2026-05-15 04:00:00+00:00,2026-05-15,Friday,Detroit Pistons @ Cleveland Cavaliers,Detroit Pistons,Cleveland Cavaliers,https://a.espncdn.com/i/teamlogos/nba/500/DET.png,https://a.espncdn.com/i/teamlogos/nba/500/CLE.png,0.9268300000000003,0.9268300000000003,0.9268300000000003,0.9268300000000003,,,0.0,1.0,60-22,52-30,forecast_model,forecast,0.73170733,0.63414633,0.6931707436000001,0.6034146236,0.6731707436000001,0.5834146236,0.6282926836,0.6482926836,0.92,0.92,0.02,0.02,,,0.0,0.0,0.8565853672000001,2.0,2.0,,,,,[],[],0.8965853672000001,0.8965853672000001,0.973467682980114,0.973467682980114,0.9180268825836437,91.80268825836437,Must Watch,pre,False,401871338,0,0,,Fri 12AM ET,https://www.nba.com/game/det-vs-cle-0042500206,League Pass,True
Fri 12:00 AM,Fri 12AM,2026-05-15 00:00:00-04:00,2026-05-15 04:00:00+00:00,2026-05-15,Friday,San Antonio Spurs @ Minnesota Timberwolves,San Antonio Spurs,Minnesota Timberwolves,https://a.espncdn.com/i/teamlogos/nba/500/SAS.png,https://a.espncdn.com/i/teamlogos/nba/500/MIN.png,2.756096799999998,2.756096799999998,2.756096799999998,2.756096799999998,,,0.0,1.0,62-20,49-33,forecast_model,forecast,0.75609756,0.597561,0.7156097552,0.5697561200000001,0.6956097552,0.5497561200000001,0.6226829376,0.6426829376000001,0.92,0.92,0.02,0.02,,,0.0,0.0,0.8453658752000002,2.0,2.0,,,,,[],[],0.8853658752000002,0.8853658752000002,0.8588092167928838,0.8588092167928838,0.8771848683874394,87.71848683874394,Strong Watch,pre,False,401871157,0,0,,Fri 12AM ET,https://www.nba.com/game/sas-vs-min-0042500236,League Pass,True
Sat 12:00 AM,Sat 12AM,2026-05-16 00:00:00-04:00,2026-05-16 04:00:00+00:00,2026-05-16,Saturday,Oklahoma City Thunder @ Los Angeles Lakers,Oklahoma City Thunder,Los Angeles Lakers,https://a.espncdn.com/i/teamlogos/nba/500/OKC.png,https://a.espncdn.com/i/teamlogos/nba/500/LAL.png,2.0243907999999973,2.0243907999999973,2.0243907999999973,2.0243907999999973,,,0.0,1.0,64-18,53-29,forecast_model,forecast,0.7804878,0.64634144,0.738048776,0.6146341248000001,0.7180487759999999,0.5946341248000001,0.6563414504,0.6763414504,0.92,0.92,0.02,0.02,,,0.0,0.0,0.9126829008000001,2.0,2.0,,,,,[],[],0.9526829008000002,0.9526829008000002,0.9048649773768982,0.9048649773768982,0.9376823840025432,93.76823840025432,Must Watch,pre,False,401871331,0,0,,Sat 12AM ET,https://www.nba.com/game/okc-vs-lal-0042500226,League Pass,True
Sun 12:00 AM,Sun 12AM,2026-05-17 00:00:00-04:00,2026-05-17 04:00:00+00:00,2026-05-17,Sunday,Cleveland Cavaliers @ Detroit Pistons,Cleveland Cavaliers,Detroit Pistons,https://a.espncdn.com/i/teamlogos/nba/500/CLE.png,https://a.espncdn.com/i/teamlogos/nba/500/DET.png,-4.926830000000001,4.926830000000001,-4.926830000000001,4.926830000000001,,,0.0,1.0,52-30,60-22,forecast_model,forecast,0.63414633,0.73170733,0.6034146236,0.6931707436000001,0.5834146236,0.6731707436000001,0.6282926836,0.6482926836,0.92,0.92,0.02,0.02,,,0.0,0.0,0.8565853672000001,2.0,2.0,,,,,[],[],0.8965853672000001,0.8965853672000001,0.7204740533272556,0.7204740533272556,0.8330944354737209,83.30944354737208,Strong Watch,pre,False,401871339,0,0,,Sun 12AM ET,https://www.nba.com/game/cle-vs-det-0042500207,League Pass,True
Sun 12:00 AM,Sun 12AM,2026-05-17 00:00:00-04:00,2026-05-17 04:00:00+00:00,2026-05-17,Sunday,Minnesota Timberwolves @ San Antonio Spurs,Minnesota Timberwolves,San Antonio Spurs,https://a.espncdn.com/i/teamlogos/nba/500/MIN.png,https://a.espncdn.com/i/teamlogos/nba/500/SAS.png,-6.756096799999998,6.756096799999998,-6.756096799999998,6.756096799999998,,,0.0,1.0,49-33,62-20,forecast_model,forecast,0.597561,0.75609756,0.5697561200000001,0.7156097552,0.5497561200000001,0.6956097552,0.6226829376,0.6426829376000001,0.92,0.92,0.02,0.02,,,0.0,0.0,0.8453658752000002,2.0,2.0,,,,,[],[],0.8853658752000002,0.8853658752000002,0.601573079507918,0.601573079507918,0.7688852358302035,76.88852358302036,Strong Watch,pre,False,401871158,0,0,,Sun 12AM ET,https://www.nba.com/game/min-vs-sas-0042500237,League Pass,True
